PRODUCT_ID,PRODUCT_NAME,CATEGORY_ID,SUBCATEGORY,BRAND,SUPPLIER_ID,UNIT_PRICE,UNIT_COST,WEIGHT_KG,IS_ACTIVE,LAUNCH_DATE,DISCONTINUE_DATE,SKU,DESCRIPTION
PRD-4BB85BA7F92,TechPulse Quality-focused full-range adapter,CAT-0005,,TechPulse,SUP-6144293394B,515.66,190.48,31.435,True,2021-10-13,,SKU-DB8612ADE16,Start face stock hospital group their citizen explain move drop.
PRD-FACF92948F7,IronBark Seamless motivating function,CAT-0021,,ZenCraft,SUP-95BCFC8C747,1161.04,664.64,15.875,True,2024-01-29,,SKU-5C45770CB3B,Peace national through old view world president allow instead customer thousand arrive daughter.
PRD-087F13DA875,SilverPeak Managed web-enabled protocol,CAT-0004,,BlueHorizon,SUP-11B831089BB,1264.61,782.2,3.802,True,2025-07-19,2028-08-12,SKU-2B96EC12F78,Dog authority way toward reflect she along wonder.
PRD-2B09D1BF653,ZenCraft Right-sized user-facing pricing structure,CAT-0006,,SilverPeak,SUP-D37D83148E5,1664.23,550.35,25.403,True,2026-03-15,,SKU-CDB3335A1E2,Thought long can rich bit market different go.
PRD-FBB09318A94,GreenLeaf Focused 3rdgeneration approach,CAT-0013,,BlueHorizon,SUP-4017F378086,1584.68,1043.28,23.834,True,2023-11-18,2025-06-16,SKU-A41B31E5E8B,Similar specific move team radio scene need.
PRD-8C822196A35,VoltEdge Visionary homogeneous standardization,CAT-0006,,NovaWave,SUP-D410FCFC211,1622.88,1030.45,8.711,True,2021-10-14,,SKU-031001B1E6E,Involve interview case just today work happy create job.
PRD-F2AF0B736CA,TechPulse Focused background parallelism,CAT-0024,,BlueHorizon,SUP-572CE8A4942,881.65,448.85,19.432,True,2021-10-25,,SKU-EED1DD4EDBF,Dinner section thousand soldier nothing yard address.
PRD-380185EE745,BlueHorizon Centralized asynchronous approach,CAT-0005,,BlueHorizon,SUP-8CC1F834771,109.47,60.47,27.942,True,2025-01-26,,SKU-645B64ACA25,Just executive fire own three your can huge price.
PRD-B2E746CDFD2,SilverPeak Compatible eco-centric moratorium,CAT-0010,,BlueHorizon,SUP-FFAD2C7FE14,1703.87,1168.45,29.179,True,2024-10-04,,SKU-47A52ABE6B9,Manager same ground trip detail require walk sister fall president.
PRD-457A3CF38CF,SwiftLine Future-proofed foreground standardization,CAT-0009,,SilverPeak,SUP-E6661451775,1935.55,1121.44,46.906,True,2024-02-14,,SKU-91E9C11A3BC,Me approach too relationship perform evidence data case wish discover score decision head staff center.
PRD-5C08F6E4D42,AquaFlow Total leadingedge projection,CAT-0034,,EcoVibe,SUP-D410FCFC211,1584.37,990.67,33.556,True,2026-05-05,2029-01-26,SKU-9E89C5C65F9,Well again student establish open feel whole arrive take himself affect him know difference.
PRD-FA228073006,PureForm Switchable intermediate monitoring,CAT-0032,,UrbanEdge,SUP-48BEA9808F7,364.62,140.63,49.999,True,2023-05-25,,SKU-25CD8AB9193,Produce all several visit travel senior from.
PRD-001CBAFD4CC,NovaWave Fundamental web-enabled parallelism,CAT-0034,,NorthStar,SUP-996D2D71228,1577.3,793.5,16.905,True,2025-08-09,,SKU-B640A553E48,Serious game stop its into role save arm body hold.
PRD-E608EAF65AA,ZenCraft Synergistic executive monitoring,CAT-0011,,VoltEdge,SUP-C350D12110D,756.56,276.07,2.28,True,2025-01-29,,SKU-733DC23D604,Interest rest shoulder employee whether level yeah draw traditional exactly radio ever your side.
PRD-1A3FB82303A,PureForm Re-engineered hybrid alliance,CAT-0029,,UrbanEdge,SUP-6F3633B308E,1939.33,1055.46,12.035,True,2022-12-26,,SKU-5DE6C71E715,Ever environmental economy president sign activity fill produce structure summer kitchen admit across already grow point.
PRD-88C6CAE7E95,AquaFlow Open-source analyzing paradigm,CAT-0029,,GreenLeaf,SUP-AA8998FA713,1808.43,682.87,14.16,True,2024-04-08,,SKU-67DD4D2BF56,Everybody particular finish ask conference she everybody than.
PRD-BA8D1647DED,PureForm Self-enabling context-sensitive circuit,CAT-0009,,ZenCraft,SUP-9F7263ADAB4,1932.7,1211.33,2.704,True,2022-02-26,,SKU-117FBF39AD6,Pretty discussion pressure contain medical key fish network direction weight yeah window administration suddenly support music.
PRD-FF6AD0A875A,NovaWave Front-line grid-enabled benchmark,CAT-0008,,PrimeCore,SUP-60E8D2D02C8,1868.92,1092.5,38.18,True,2021-10-01,,SKU-2FE8264C452,Medical both back daughter now stop race author.
PRD-79127EDC2CE,IronBark Horizontal client-server algorithm,CAT-0015,,ZenCraft,SUP-713BFCACB32,298.96,142.0,44.243,True,2023-08-18,,SKU-18DCA84749E,Parent growth window today hear wall family all happy fact change option.
PRD-EE6D1075D79,SwiftLine Extended foreground migration,CAT-0006,,BlueHorizon,SUP-48BEA9808F7,795.93,357.84,1.507,True,2022-01-19,,SKU-FDE93A9A3AA,Situation require vote her old price change several power western when yeah not young piece.
PRD-A10258F52CA,TechPulse Public-key upward-trending capability,CAT-0003,,PrimeCore,SUP-0FBC16F09CD,1301.67,802.55,34.834,True,2025-02-20,,SKU-0DDCEF8CB94,Sometimes parent process minute first crime offer treat forget sometimes within discuss fire win realize.
PRD-2886AAD7623,EcoVibe Open-source high-level artificial intelligence,CAT-0002,,PrimeCore,SUP-854E6DADA98,899.96,271.88,41.765,True,2023-09-20,,SKU-FC4810DF043,Night baby gun machine discover skill discover still would understand each training.
PRD-D4E90F8C270,PrimeCore Synchronized client-driven portal,CAT-0016,,PrimeCore,SUP-BBA152C542E,1057.9,364.42,2.483,True,2024-11-05,,SKU-F9C1781D9CC,Somebody game brother impact measure chance management thing cup conference law.
PRD-61AB4A475B4,IronBark Operative empowering task-force,CAT-0032,,SilverPeak,SUP-4FBAC18B408,916.94,315.74,0.92,True,2022-05-08,,SKU-0FAEF8EADB9,Represent like big thank street agency cold authority method more hold institution camera recent drop.
PRD-CB7439C311F,SilverPeak Mandatory global parallelism,CAT-0023,,UrbanEdge,SUP-855E8D35E44,291.44,137.47,20.887,True,2022-12-22,2025-12-29,SKU-B602A9EF333,Pattern yes and school great large important last strong eye local care contain she trouble view.
PRD-5E5437C28A1,NovaWave Adaptive optimizing parallelism,CAT-0033,,NovaWave,SUP-5064F30F1ED,140.02,71.47,19.584,True,2021-12-10,,SKU-8B1DF6D123C,Purpose law fly computer reveal evidence significant discussion manage answer military modern.
PRD-AB49DA50E86,NorthStar Optimized executive Graphic Interface,CAT-0023,,PureForm,SUP-40CC3A7B47B,1962.17,787.73,17.306,True,2024-01-12,,SKU-6248826CFF5,Five condition century sport same writer decision mind offer past between expect budget.
PRD-5AD8B33EB62,BlueHorizon Organic directional concept,CAT-0009,,NorthStar,SUP-05CA9305BFE,1544.15,917.34,27.346,True,2022-11-17,,SKU-B68CC5E5669,Voice else paper blood discuss everything benefit need meet collection out.
PRD-2C667D9ADB7,VoltEdge Quality-focused national website,CAT-0031,,AquaFlow,SUP-79D398A1D82,1559.39,757.63,40.594,False,2021-09-22,,SKU-80CF0A17BBC,According strategy ago data walk number rule minute store far.
PRD-6090F2A2DE7,NorthStar Triple-buffered bottom-line intranet,CAT-0013,,IronBark,SUP-958D5AAE392,918.07,383.18,15.848,True,2022-01-25,,SKU-38913A9CDD5,Manage beautiful carry everything protect why sound season develop avoid church friend law.
PRD-87DB34FE250,NorthStar Synergistic zero-defect archive,CAT-0013,,PrimeCore,SUP-F06DD0E7A9B,1631.74,798.51,43.121,False,2025-02-23,,SKU-FA303B47BD4,Throughout although beyond relate miss couple newspaper study personal we physical early.
PRD-0D4405C11F7,SwiftLine Face-to-face systematic customer loyalty,CAT-0026,,VoltEdge,SUP-C350D12110D,550.07,340.9,44.742,True,2024-05-31,,SKU-62EDC9692EA,Like machine cost market capital play become might rich degree its.
PRD-3A02E8C8B8C,IronBark Seamless demand-driven strategy,CAT-0034,,PrimeCore,SUP-60E8D2D02C8,994.93,496.48,36.381,False,2023-12-11,,SKU-F1D08F98D1A,Although read party piece doctor give most west there.
PRD-BDE888DA430,BlueHorizon Implemented static matrix,CAT-0007,,EcoVibe,SUP-318DD7CACE2,1645.57,852.72,33.08,True,2025-08-31,,SKU-02AEE9E77F9,Someone hot ground loss benefit both thing sense expert wide foot production break let.
